display_name,entity_type,Degree,Closeness,Betweenness,route_count,platform_stop_count
St Dennis Dr at Opposite 195-205-215 Wynford Dr,street_stop,0.00024829298572315333,0.04103427157843211,0.0003205518604337274,1,1
Wynford Dr at Wynford Heights Cres,street_stop,0.00024829298572315333,0.04102882917301547,0.0022442595811605,1,1
1 and 3 Concorde Pl North Side,street_stop,0.00024829298572315333,0.039413161574142784,0.0021205943216621144,1,1
Wynford Dr at Concorde Pl West Side,street_stop,0.00024829298572315333,0.03918332538887952,3.451529877784244e-05,1,1
100 Wynford Dr - Bell Canada,street_stop,0.00024829298572315333,0.03988675435800236,0.00010025561756012784,1,1
Wynford Dr at Sakura Way,street_stop,0.00024829298572315333,0.041097803158207,0.00019609633011303306,1,1
Gervais Dr at Wynford Dr South Side,street_stop,0.00024829298572315333,0.04285693830838938,0.00031976158961141905,1,1
Keele St at Sheppard Ave West South Side,street_stop,0.0004965859714463067,0.04166604226836451,0.006872587793974934,4,1
Keele St at Wycombe Rd,street_stop,0.00024829298572315333,0.040217435392492264,4.2801146758338994e-05,3,1
Keele St at Diana Dr South Side,street_stop,0.00037243947858473,0.03970853991969303,0.00021528695289672623,3,1
Keele St at Denbigh Cres South Side,street_stop,0.00024829298572315333,0.03945047219522525,0.00018998278033221906,1,1
Downsview Park Blvd at Stanley Greene Blvd,street_stop,0.00037243947858473,0.04094111298516054,0.00043850307229410313,1,1
Locust Lodge Gardens at Stanley Greene Blvd,street_stop,0.00024829298572315333,0.039343562438359056,5.4619610217002206e-05,1,1
Stanley Greene Blvd at Downsview Park Blvd,street_stop,0.00024829298572315333,0.038684657303444454,2.088340796952037e-06,1,1
Downsview Park Blvd at George Butchart Dr,street_stop,0.00037243947858473,0.03972893878039063,0.0002451848408020079,1,1
Keele St at Whitburn Cres South Side,street_stop,0.0006207324643078833,0.04109360359114744,0.009208964660157505,4,1
Keele St at Calvington Dr South Side,street_stop,0.00037243947858473,0.039487271924794745,0.0046094792928293386,4,1
Keele St at Tilbury Dr,street_stop,0.00024829298572315333,0.038922220783059396,5.7162140896931064e-05,4,1
Keele St at Victory Dr,street_stop,0.00037243947858473,0.040151181967041115,0.0007451572595711963,4,1
Wilson Ave at Keele St East Side,street_stop,0.00024829298572315333,0.03961719881623178,0.0006473279196011693,2,1
Wilson Ave at Dubray Ave,street_stop,0.00037243947858473,0.03984585054110538,0.001644239164177474,7,1
949 Wilson Ave,street_stop,0.00024829298572315333,0.040460414761899634,0.00138997058546297,7,1
Wilson Ave at Murray Rd,street_stop,0.00024829298572315333,0.04139733009384904,0.0014556943472458924,7,1
Wilson Ave at Northgate Dr,street_stop,0.00024829298572315333,0.04259795176828667,0.0015432789056782604,7,1
Wilson Ave at Lady York Ave,street_stop,0.00037243947858473,0.04409445225583728,0.002280291742108462,8,1
Wilson Ave at Dufferin St,street_stop,0.0009931719428926133,0.04606558152838071,0.0025199364766815687,8,1
Wilson Ave at Transit Rd West Side,street_stop,0.0004965859714463067,0.045802986727071435,0.00018634642684308878,5,1
Opposite 675 Wilson Ave,street_stop,0.0006207324643078833,0.045923811333198644,0.00017691521367376372,6,1
Wilson Ave at Dufferin St West Side,street_stop,0.0006207324643078833,0.04737309735701344,0.05366955880780107,7,1
Wilson Ave at Lady York Ave,street_stop,0.00024829298572315333,0.04523014030318597,0.00014906744181959064,5,1
Wilson Ave at Garratt Blvd,street_stop,0.00024829298572315333,0.043272669148394255,4.287724526115388e-05,5,1
Wilson Ave at Murray Rd,street_stop,0.00024829298572315333,0.0424057008524039,1.797171056845673e-05,5,1
Wilson Ave at Apex Lane,street_stop,0.00024829298572315333,0.04428381970044566,9.92563724341963e-05,5,1
Wilson Ave at Dubray Ave,street_stop,0.0004965859714463067,0.04633600915585749,0.05358974611121256,6,1
Wilson Ave at Keele St North Side,street_stop,0.00024829298572315333,0.04508486392301296,0.005007681928376298,2,1
Keele St at Paxtonia Blvd North Side,street_stop,0.00037243947858473,0.04423121683498539,0.0051510719817170455,4,1
Keele St at Wandle Ave,street_stop,0.00037243947858473,0.0426146534840559,0.0008864196340425831,4,1
Keele St at Keelegate Dr,street_stop,0.00024829298572315333,0.04185228368409033,0.00010598578641786988,3,1
Keele St at Downsview Park Blvd,street_stop,0.0006207324643078833,0.0426625742299404,0.008916063117701973,4,1
Downsview Park Blvd at Keele St,street_stop,0.00024829298572315333,0.03960295862088297,0.0001802011731843086,1,1
Keele St at Diana Dr,street_stop,0.00037243947858473,0.041104524251163906,0.0005172082088866656,3,1
Keele St at Wycombe Rd,street_stop,0.00037243947858473,0.04083344486890833,0.0005271159948861731,3,1
Sheppard Ave West at Keele St East Side,street_stop,0.00024829298572315333,0.04112638299350478,0.0005125278810856334,1,1
Sheppard Ave West at John Drury Dr,street_stop,0.0004965859714463067,0.04188410388623519,0.000599719962243446,4,1
35 Carl Hall Rd,street_stop,0.00024829298572315333,0.04125485086235436,2.6566736797677943e-05,1,1
Carl Hall Rd at Centennial College,street_stop,0.00024829298572315333,0.042114160410060386,7.787513146571888e-05,1,1
Sheppard Ave West at Chesswood Dr,street_stop,0.00024829298572315333,0.0420472304115521,0.0,1,1
Sheppard Ave West at Tuscan Gate,street_stop,0.00037243947858473,0.0420531662428434,0.0007423314134181754,3,1
Tuscan Gate at St Regis Cres (South),street_stop,0.00024829298572315333,0.04204679078700457,1.427861931959275e-06,1,1
St Regis Cres North at Bakersfield St West Side,street_stop,0.00024829298572315333,0.04204283457972213,0.0015510393229961777,1,1
St Regis Cres North at Ceramic Rd,street_stop,0.00024829298572315333,0.04034756409441888,0.0014346687114738187,1,1
Ceramic Rd at Ashwarren Rd,street_stop,0.00024829298572315333,0.03939945365569581,4.881302144496187e-05,1,1
Ceramic Rd at Le Page Crt,street_stop,0.00024829298572315333,0.03899090294830663,0.0007362220005411155,1,1
Le Page Crt at Keele St,street_stop,0.00024829298572315333,0.04044352828115725,0.0008184665126134565,1,1
Keele St at Toro Rd,street_stop,0.00037243947858473,0.04214748451120758,0.0009871319351527305,3,1
Morningside Ave at Passmore Ave - Amazon Fulfillment Centre,street_stop,0.0006207324643078833,0.026088832601693007,0.001887585981708892,4,1
Steeles Ave East at Eastvale Rd,street_stop,0.0006207324643078833,0.02630401336056638,0.009874097513261805,4,1
Markham Rd at Steeles Ave East South Side,street_stop,0.0004965859714463067,0.025883806038179618,0.00225891671172267,2,1
Markham Rd at Select Ave,street_stop,0.00024829298572315333,0.025326554196445982,0.0,1,1
Markham Rd at Passmore Ave,street_stop,0.0004965859714463067,0.02548448203848412,0.00209272851920588,2,1
Markham Rd at Turbina Ave,street_stop,0.00024829298572315333,0.02503588839308391,0.0,1,1
Markham Rd at McNicoll Ave,street_stop,0.00037243947858473,0.025289603910481025,0.002003584367060113,2,1
Markham Rd at Nashdene Rd,street_stop,0.0004965859714463067,0.02521539341783524,0.0034717152414737336,3,1
Markham Rd at Finch Ave East,street_stop,0.00037243947858473,0.025198803407691355,0.002242813731116402,2,1
2260 Markham Rd,street_stop,0.00024829298572315333,0.024579206147621054,2.4483238263908263e-05,1,1
2200 Markham Rd,street_stop,0.00024829298572315333,0.024648278695090706,3.1219927879972584e-05,1,1
Markham Rd at Nugget Ave,street_stop,0.0004965859714463067,0.025271407378359992,0.002276711261690298,2,1
Markham Rd at Verne Cres,street_stop,0.00024829298572315333,0.025040019393391604,0.0,1,1
Markham Rd at Sheppard Ave East,street_stop,0.0004965859714463067,0.025466568519608088,0.0023253381339313917,2,1
Markham Rd at Milner Ave,street_stop,0.00024829298572315333,0.025742474480857966,0.0023198785740025933,1,1
Markham Rd at Progress Ave South Side,street_stop,0.0004965859714463067,0.02615075437966772,0.002581303037114349,2,1
Markham Rd at Tuxedo Crt,street_stop,0.00024829298572315333,0.026036387050356227,0.0,1,1
Markham Rd at Ellesmere Rd,street_stop,0.00037243947858473,0.026625412040763186,0.0027530325354393286,2,1
Markham Rd at Brimorton Dr,street_stop,0.00037243947858473,0.027156715633837807,0.00284872981473482,2,1
Markham Rd at Pandora Cir,street_stop,0.00024829298572315333,0.0270981586512373,0.0,1,1
